PERIODO,MUNICIPIO,DIAGNOSTICO,GENERO,REGIMEN,RANGO_EDAD,CANTIDAD_CASOS,ANIO,MES_NUM,PERIODO_MENSUAL,TRIMESTRE,MES_NOMBRE,SEMESTRE,GRUPO_DIAGNOSTICO,SALUD_MENTAL_CLASS
2024-01-01,APIA,OTROS TRASTORNOS EMOCIONALES Y DEL COMPORTAMIENTO QUE APARECEN HABITUALMENTE EN LA NINEZ Y EN LA ADOLESCENCIA,FEMENINO,SUBSIDIADO,12-17,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,APIA,"PROBLEMAS RELACIONADOS CON EL GRUPO PRIMARIO DE APOYO, INCLUSIVE CIRCUNSTANCIAS FAMILIARES",FEMENINO,SUBSIDIADO,12-17,1,2024,1,2024-01,1,January,1,FACTORES_SOCIALES,OTROS_GRUPOS_DX
2024-01-01,APIA,REACCION AL ESTRES GRAVE Y TRASTORNOS DE ADAPTACION,FEMENINO,SUBSIDIADO,60+,2,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,APIA,RETRASO MENTAL LEVE,FEMENINO,SUBSIDIADO,60+,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,APIA,RETRASO MENTAL MODERADO,FEMENINO,SUBSIDIADO,18-28,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,APIA,TRASTORNO AFECTIVO BIPOLAR,FEMENINO,SUBSIDIADO,60+,3,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,APIA,TRASTORNO AFECTIVO BIPOLAR,MASCULINO,SUBSIDIADO,18-28,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,APIA,TRASTORNO DEPRESIVO RECURRENTE,FEMENINO,SUBSIDIADO,29-59,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,APIA,TRASTORNO DEPRESIVO RECURRENTE,MASCULINO,CONTRIBUTIVO,18-28,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,APIA,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE COCAINA,MASCULINO,SUBSIDIADO,18-28,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,APIA,TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS,MASCULINO,SUBSIDIADO,18-28,2,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,APIA,TRASTORNOS PSICOTICOS AGUDOS Y TRANSITORIOS,FEMENINO,SUBSIDIADO,29-59,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,ARMENIA,TRASTORNO AFECTIVO BIPOLAR,FEMENINO,SUBSIDIADO,29-59,3,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BALBOA,EPISODIO DEPRESIVO,FEMENINO,SUBSIDIADO,29-59,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BALBOA,OTROS SINTOMAS Y SIGNOS QUE INVOLUCRAN LA FUNCION COGNOSCITIVA Y LA CONCIENCIA,FEMENINO,CONTRIBUTIVO,29-59,1,2024,1,2024-01,1,January,1,SINTOMAS_GENERALES,OTROS_GRUPOS_DX
2024-01-01,BALBOA,OTROS TRASTORNOS DE ANSIEDAD,FEMENINO,CONTRIBUTIVO,60+,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BALBOA,OTROS TRASTORNOS DE ANSIEDAD,MASCULINO,CONTRIBUTIVO,12-17,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BALBOA,REACCION AL ESTRES GRAVE Y TRASTORNOS DE ADAPTACION,MASCULINO,CONTRIBUTIVO,29-59,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BALBOA,RETRASO MENTAL MODERADO,MASCULINO,OTRO,18-28,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BALBOA,TRASTORNO AFECTIVO BIPOLAR,FEMENINO,SUBSIDIADO,29-59,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BALBOA,TRASTORNO AFECTIVO BIPOLAR,FEMENINO,SUBSIDIADO,60+,2,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BELALCAZAR,ENFERMEDAD DE ALZHEIMER,MASCULINO,CONTRIBUTIVO,60+,1,2024,1,2024-01,1,January,1,NEUROLOGICO,OTROS_GRUPOS_DX
2024-01-01,BELALCAZAR,EPISODIO DEPRESIVO,FEMENINO,CONTRIBUTIVO,12-17,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BELALCAZAR,EXAMEN DE PESQUISA ESPECIAL PARA OTRAS ENFERMEDADES Y TRASTORNOS,MASCULINO,SUBSIDIADO,12-17,1,2024,1,2024-01,1,January,1,CONTACTO_SERVICIOS_SALUD,OTROS_GRUPOS_DX
2024-01-01,BELALCAZAR,OTROS TRASTORNOS DE ANSIEDAD,MASCULINO,CONTRIBUTIVO,29-59,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BELALCAZAR,PROBLEMAS RELACIONADOS CON EL AMBIENTE SOCIAL,FEMENINO,CONTRIBUTIVO,60+,1,2024,1,2024-01,1,January,1,FACTORES_SOCIALES,OTROS_GRUPOS_DX
2024-01-01,BELALCAZAR,PROBLEMAS RELACIONADOS CON OTRAS CIRCUNSTANCIAS PSICOSOCIALES,FEMENINO,SUBSIDIADO,18-28,1,2024,1,2024-01,1,January,1,FACTORES_SOCIALES,OTROS_GRUPOS_DX
2024-01-01,BELALCAZAR,REACCION AL ESTRES GRAVE Y TRASTORNOS DE ADAPTACION,FEMENINO,CONTRIBUTIVO,60+,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BELALCAZAR,REACCION AL ESTRES GRAVE Y TRASTORNOS DE ADAPTACION,MASCULINO,CONTRIBUTIVO,29-59,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BELALCAZAR,REACCION AL ESTRES GRAVE Y TRASTORNOS DE ADAPTACION,MASCULINO,SUBSIDIADO,12-17,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BELALCAZAR,TRASTORNO AFECTIVO BIPOLAR,FEMENINO,CONTRIBUTIVO,60+,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BELALCAZAR,TRASTORNO DEPRESIVO RECURRENTE,FEMENINO,CONTRIBUTIVO,29-59,2,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BELALCAZAR,TRASTORNOS GENERALIZADOS DEL DESARROLLO,MASCULINO,CONTRIBUTIVO,18-28,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BELEN DE UMBRIA,DEMENCIA NO ESPECIFICADA,FEMENINO,SUBSIDIADO,60+,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BELEN DE UMBRIA,DOLOR NO CLASIFICADAS EN OTRA PARTE,FEMENINO,CONTRIBUTIVO,29-59,2,2024,1,2024-01,1,January,1,SINTOMAS_GENERALES,OTROS_GRUPOS_DX
2024-01-01,BELEN DE UMBRIA,DOLOR NO CLASIFICADAS EN OTRA PARTE,MASCULINO,CONTRIBUTIVO,60+,1,2024,1,2024-01,1,January,1,SINTOMAS_GENERALES,OTROS_GRUPOS_DX
2024-01-01,BELEN DE UMBRIA,EPILEPSIA,FEMENINO,SUBSIDIADO,29-59,1,2024,1,2024-01,1,January,1,NEUROLOGICO,OTROS_GRUPOS_DX
2024-01-01,BELEN DE UMBRIA,EPISODIO DEPRESIVO,FEMENINO,SUBSIDIADO,18-28,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BELEN DE UMBRIA,EPISODIO DEPRESIVO,FEMENINO,SUBSIDIADO,60+,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BELEN DE UMBRIA,EPISODIO DEPRESIVO,MASCULINO,CONTRIBUTIVO,60+,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BELEN DE UMBRIA,EPISODIO DEPRESIVO,MASCULINO,SUBSIDIADO,12-17,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BELEN DE UMBRIA,ESQUIZOFRENIA,MASCULINO,SUBSIDIADO,18-28,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BELEN DE UMBRIA,EXAMEN DE PESQUISA ESPECIAL PARA OTRAS ENFERMEDADES Y TRASTORNOS,FEMENINO,CONTRIBUTIVO,29-59,1,2024,1,2024-01,1,January,1,CONTACTO_SERVICIOS_SALUD,OTROS_GRUPOS_DX
2024-01-01,BELEN DE UMBRIA,EXAMEN GENERAL E INVESTIGACION DE PERSONAS SIN QUEJAS O SIN DIAGNOSTICO INFORMADO,FEMENINO,SUBSIDIADO,60+,1,2024,1,2024-01,1,January,1,CONTACTO_SERVICIOS_SALUD,OTROS_GRUPOS_DX
2024-01-01,BELEN DE UMBRIA,GASTRITIS Y DUODENITIS,MASCULINO,SUBSIDIADO,29-59,1,2024,1,2024-01,1,January,1,DIGESTIVO,OTROS_GRUPOS_DX
2024-01-01,BELEN DE UMBRIA,OBESIDAD,FEMENINO,SUBSIDIADO,29-59,1,2024,1,2024-01,1,January,1,ENDOCRINO_METABOLICO,OTROS_GRUPOS_DX
2024-01-01,BELEN DE UMBRIA,OTROS TRASTORNOS DE ANSIEDAD,FEMENINO,CONTRIBUTIVO,29-59,2,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BELEN DE UMBRIA,OTROS TRASTORNOS DE ANSIEDAD,FEMENINO,CONTRIBUTIVO,60+,2,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BELEN DE UMBRIA,OTROS TRASTORNOS DE ANSIEDAD,FEMENINO,SUBSIDIADO,12-17,3,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BELEN DE UMBRIA,OTROS TRASTORNOS DE ANSIEDAD,FEMENINO,SUBSIDIADO,18-28,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BELEN DE UMBRIA,OTROS TRASTORNOS DE ANSIEDAD,FEMENINO,SUBSIDIADO,29-59,5,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BELEN DE UMBRIA,OTROS TRASTORNOS DE ANSIEDAD,FEMENINO,SUBSIDIADO,6-11,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
2024-01-01,BELEN DE UMBRIA,OTROS TRASTORNOS DE ANSIEDAD,FEMENINO,SUBSIDIADO,60+,1,2024,1,2024-01,1,January,1,SALUD_MENTAL,SALUD_MENTAL
