PC1,PC2,PC3,PC4,PC5,PC6,PC7
1.742974319154944,0.656530763599472,-0.9139229779420776,-0.36915904725712345,-0.37668954152069256,-0.051811567641046,0.7856663319288256
0.5836375544941741,-0.6850082330292939,0.5208012791646115,-0.21792420053443223,-0.21834920440165706,-0.05669906563197591,-0.010767185527701284
-1.4095456968151752,-0.5923173569984425,0.41042337449093086,-0.2931658474085612,-0.24019757105577016,-0.01503030665540428,-0.02637621955663566
0.6560637223636974,0.7188606269051367,0.443332280285932,-0.17958056692174582,-0.22430509727342682,-0.01967813607443214,-0.04819925144006498
0.6773019085247909,-0.7648329862863311,-0.8793754910547418,-0.40937136479551395,-0.27533970067552954,-0.16385524355587344,-0.0848414795718764
0.7510771790041502,0.7054022468882414,-0.9894182320039999,-0.41551434758734607,-0.41005069137305183,-0.040105700012559364,0.7880655472568537
1.7451844946422885,0.6570389786262828,-0.931606390931365,-0.379099268347049,-0.39471026988858715,-0.06030827000470351,0.793642362482116
1.6621947106483401,0.7088847611116555,0.4575096384833978,-0.20929331362855014,-0.36455703315844845,0.06223761688834162,0.8583646252092728
0.6696370042960429,-0.7445524538810304,-0.8913630672440962,-0.39924260679426227,-0.27244666119497385,-0.16045806336503843,-0.06607139174427124
0.7444013593775538,0.6756211049213623,-0.9688473542688559,-0.3714179041554334,-0.25733975587174013,-0.13247778796710474,-0.21706929421829826
0.6749255653759643,-0.7309056754739903,-0.9147305378296455,-0.4216709863318088,-0.27659101129654834,-0.17346278111303348,-0.1690736432344061
1.5801827851236996,-0.7454306730291735,0.5662655805817112,-0.19445355683485663,-0.21517814793108647,-0.05545249890828219,-0.006210514051204374
1.7571227702206431,0.6246196993892993,-0.8695591207841935,-0.3504660351386758,-0.3159600574974423,-0.08556091747620065,-0.46818644556345645
-2.3411871616422815,-0.6036972022079591,-1.0752658658201948,-0.5233854720641511,-0.3292262751539997,-0.10919997272151549,-0.09953219103044289
0.6531149712264539,0.7219844079145241,0.45921898767994745,-0.16441740542648714,-0.20245941007745064,-0.011104440771347202,-0.062233364687750925
-2.320473149945992,-0.6065397369300933,-0.48478841797375266,-0.3546571477738485,-0.07649827332103212,1.126224617821856,-0.16735030648097565
0.5875993820409513,-0.6890641836048477,0.5312888721651472,-0.2305992217780678,-0.2698638006376266,-0.0533591273909485,-0.012428924939693317
1.6553904573767162,0.6830019715900604,0.5181367134998722,-0.16345414242485015,-0.25979676692855186,-0.04332484673410408,-0.12437489469288487
1.668904447369076,-0.775370591290665,-0.8168624994756803,-0.38351317931972434,-0.3092012590834988,-0.20685572677307806,-0.14110150643614963
-0.3985581772077693,-0.6654223295669386,0.48136998999947694,-0.2851097735057138,-0.29128891275323976,-0.01957445978230976,-0.03671295507389824
0.5955491384303699,-0.7137855978288973,0.5391818310721119,-0.24869469426541674,-0.2759484912687751,-0.039777029774453854,-0.03113613984863603
0.7375967323793406,0.6665752780737704,-0.9109807060884301,-0.3550579452152277,-0.2847332980804519,-0.14624153627165715,-0.12598950684152865
0.5851311543838027,-0.6881057198362095,0.5322521397655431,-0.23550507267310417,-0.2738313167751214,-0.06468064252454087,-0.01327159313047964
-0.33616486606485907,0.7700103856373233,0.41664862062404356,-0.22361587938029948,-0.27554295840977544,0.00019143418220590736,-0.06743612187532437
0.6565644091158016,0.7168259047597286,0.4747435863846127,-0.18818638692570866,-0.25796036571554226,-0.015184658018416064,-0.05838660519649361
1.6532393317119527,0.6667619505697855,0.536123867702798,-0.1469686027785306,-0.24153279042043663,-0.04161174037459214,-0.05497765759996581
0.6693244089097292,0.7564496353456752,0.42913909012285384,-0.2548376770572488,-0.4106594819662974,0.08397251376886017,0.8417708869800941
0.6828383989020885,-0.7019229275350501,-0.9058601228526986,-0.474896713952123,-0.46006397412124433,-0.07955836627011381,0.8250442752368293
-0.3942587007299996,-0.6017138767877187,0.4254440654894293,-0.3415058384739212,-0.4452511588755703,0.06319009061507541,0.884189722738724
-1.351667048715811,0.8229015314818262,0.35971444157202553,-0.2710356842277653,-0.30119882800071324,0.02517834135479946,-0.08943097171733945
-1.3316540933936423,0.8179549048888478,0.3628186603029347,-0.25957078211697826,-0.2785615476370571,0.01772669202295818,-0.0729573594127441
1.6567559049212712,0.6783052251168376,0.5075218089306328,-0.17432615438503912,-0.24260812498052095,-0.028602144177829247,-0.1577871392697957
1.645699233487703,0.6688294396099059,0.5414999609924287,-0.152737032789622,-0.22370780686884673,-0.041617398961190766,-0.06068231731536741
-0.33731903825146103,0.7570242498621575,0.4259663747093217,-0.22615991732747706,-0.2573697627985919,0.02746996111030936,-0.07637671848953746
1.6753700001262222,0.675667087846733,0.5489982013426604,-0.18978936460857856,-0.31656884809068786,0.03851729630521894,-0.414481105840216
-0.382320425151645,-0.6341331560247022,0.4874913356366008,-0.312872605265548,-0.36650094648442544,0.03793744314357833,-0.3776390853068483
0.671884081956081,0.7277803104087532,0.45547495531130017,-0.20069616824308176,-0.2663964484373678,-0.02501663977355828,-0.1204686935720463
-0.308709243689699,-0.6822289842100134,-0.9373360987368873,-0.457170284378253,-0.33114136207677947,-0.16834494982038817,-0.14277212054057326
-0.40619301898360227,-0.6499971119714366,0.47619688500396534,-0.27357210267714527,-0.295324957345624,-0.04713412067146289,-0.020685029761131887
-0.4087881104460753,-0.6605362979747447,0.4789767371604979,-0.27992308728617,-0.30329846154220524,-0.016064661614040132,-0.03204566176626876
0.6574804000001606,0.7109839527459043,0.4782451094561047,-0.18703293990364234,-0.25859585488648434,-0.01829940504052996,-0.061080552899261044
0.6778564975930088,0.7252747682992307,0.47863163819964444,-0.2040539215081612,-0.27607656590398877,0.07251521049648196,-0.4305730826806381
0.6606393943379403,0.7363542918372353,0.44625974684273634,-0.18670583208722208,-0.24037380442357864,-0.019941202466891128,-0.12750225114458727
0.7414780526671243,0.6682684883315878,-0.9248691283691008,-0.34002624715940144,-0.2522630646456022,-0.14077398300042432,-0.12282727677882509
1.7457777611411776,0.6612296365835602,-0.916230223803775,-0.37506516295752557,-0.39070891322253354,-0.0555948688412603,0.7850748982517592
-1.306019979774828,-0.6002073390259165,-1.0355489305824694,-0.534563482854792,-0.45598143310073586,-0.03597215201075682,0.8163401035598647
0.6755188318748537,-0.7267150175167129,-0.8993543707020555,-0.41763688094228524,-0.2725896546304948,-0.16874937994959038,-0.1776411074647628
-0.34317059229292823,-0.7177338408165082,-0.3396851269255962,-0.2804956642729428,-0.04443006608728439,1.112377887965769,-0.1037043689114316
0.6806189370874449,0.7290194080939081,0.4771212346855244,-0.2130410542709505,-0.29714588558571464,0.06190094057243184,-0.4176084622919184
1.6747262527255837,0.6806561398319494,0.5349330757581594,-0.17662597503065344,-0.28180546410124996,0.04169837058028769,-0.4120316470666563
1.6649602495568572,-0.7887109034095248,-0.8233408207474755,-0.35160938354998544,-0.2415587338174236,-0.1973166590978409,-0.07087339091422266
-1.2454375996851095,0.7782672145816729,-1.0652045486934234,-0.4236174400128707,-0.28550750154344795,-0.10079251075498741,-0.20660200895627695
-1.4036723432566662,-0.5886818659141787,0.3931701484685978,-0.28796745036903487,-0.2536671298464275,-0.01620565807862495,-0.027599614090244876
0.68134250476073,-0.6999017068439408,-0.9266498324133264,-0.4560088191007535,-0.4096002075526077,-0.07508785337438445,0.8242698693763808
1.7300312242721012,0.6232433052863164,-0.8735813875832995,-0.2996276121708454,-0.21531794604901017,-0.16201507027344308,-0.12372090794655544
-0.3395628638100656,0.7687746940797306,0.396729260590368,-0.20162371660017187,-0.21653762138781507,0.0028127552232125597,-0.06607671340841346
1.738249794773861,0.628480663322574,-0.9023839300447579,-0.32524421425216854,-0.22229759514202302,-0.14667751817514496,-0.22328380785740112
0.6746666851341336,-0.7296828488108199,-0.9060789546781824,-0.4119123756688409,-0.2568892720512959,-0.16745994132892972,-0.18086497209877117
-1.3965377301360933,-0.5811105298015299,0.3674133925913105,-0.3149365794309361,-0.2574168782900866,-0.004508914451596346,-0.12729633982213873
1.756863889978812,0.6258425260524696,-0.8609075376327304,-0.340707424475708,-0.29625831825218996,-0.07955807769209677,-0.4799777744278215
0.7533779718086717,0.6779557486144898,-0.9544307836640905,-0.35161422811021115,-0.24608591859886986,-0.1430920137708741,-0.18596536215965173
-0.34438002235210297,-0.699802262313036,-0.9499350408717966,-0.4267988432662311,-0.2610593498410003,-0.14805508434986658,-0.08937284818670056
1.6652066251444846,0.6736901089585103,0.5359990915439472,-0.17157372542312638,-0.3058421805112854,-0.04273301279065633,-0.04576377835562462
0.7486534676587167,0.6688613232867486,-0.9280422635578689,-0.37803330398388685,-0.34238036539010186,-0.14678117182882977,-0.11656535350194425
