modelo,k,silhouette,calinski_harabasz
kmeans,2,0.3340655065631796,9689.738733061347
kmeans,3,0.2864712714319498,7534.655742651503
kmeans,4,0.2616118844812126,6260.782559528749
kmeans,5,0.2505832889885403,5496.228994021168
kmeans,6,0.2607256424587968,5172.484621025135
kmeans,7,0.3002930332986466,5098.318804192705
kmeans,8,0.31703136180996666,4917.0185731127585
kmeans,9,0.30129990989423044,4582.996994758372
kmeans,10,0.340399412026346,4466.162159126565
ac,2,0.33029439808723055,9462.749763902371
ac,3,0.24816464535598579,6272.2694003596025
ac,4,0.21287571975034916,5498.6833115176905
ac,5,0.21819385724898072,5189.488794116648
ac,6,0.24597261428099212,4863.944686436578
ac,7,0.26227104315686556,4667.856193145756
ac,8,0.29310452162130907,4548.511807958403
ac,9,0.31376226871089796,4402.0732787257
ac,10,0.30216017454561955,4242.352053155328
gmm,2,0.06820075129935906,485.1541543020781
gmm,3,0.07831373062261836,1153.267858643051
gmm,4,0.06060911649728968,829.0871500161597
gmm,5,0.02585427430135507,899.405621949568
gmm,6,0.03632327314297443,866.9629587016557
gmm,7,0.15104450362517655,1171.7363388602525
gmm,8,0.0912506148175319,1106.135384691692
gmm,9,0.1347404495840932,1391.512184932575
gmm,10,0.14130452486134382,1269.3160267920068
