anio_mes,municipio_residencia,grupo_diagnostico,genero_paciente,regimen_atencion,rango_edad,total_casos
2024-01,BELALCAZAR,Reaccion Al Estres Grave Y Trastornos De Adaptacion,MASCULINO,CONTRIBUTIVO,29-59,1
2024-01,BELALCAZAR,Reaccion Al Estres Grave Y Trastornos De Adaptacion,MASCULINO,SUBSIDIADO,12-17,1
2024-01,BELALCAZAR,Trastorno Afectivo Bipolar,FEMENINO,CONTRIBUTIVO,60+,1
2024-01,BELALCAZAR,Trastorno Depresivo Recurrente,FEMENINO,CONTRIBUTIVO,29-59,2
2024-01,BELALCAZAR,Trastornos Generalizados Del Desarrollo,MASCULINO,CONTRIBUTIVO,18-28,1
2024-01,BELEN DE UMBRIA,Demencia No Especificada,FEMENINO,SUBSIDIADO,60+,1
2024-01,BELEN DE UMBRIA,Dolor No Clasificadas En Otra Parte,FEMENINO,CONTRIBUTIVO,29-59,2
2024-01,BELEN DE UMBRIA,Dolor No Clasificadas En Otra Parte,MASCULINO,CONTRIBUTIVO,60+,1
2024-01,BELEN DE UMBRIA,Epilepsia,FEMENINO,SUBSIDIADO,29-59,1
2024-01,BELEN DE UMBRIA,Episodio Depresivo,FEMENINO,SUBSIDIADO,18-28,1
2024-01,BELEN DE UMBRIA,Episodio Depresivo,FEMENINO,SUBSIDIADO,60+,1
2024-01,BELEN DE UMBRIA,Episodio Depresivo,MASCULINO,CONTRIBUTIVO,60+,1
2024-01,BELEN DE UMBRIA,Episodio Depresivo,MASCULINO,SUBSIDIADO,12-17,1
2024-01,BELEN DE UMBRIA,Esquizofrenia,MASCULINO,SUBSIDIADO,18-28,1
2024-01,BELEN DE UMBRIA,Examen De Pesquisa Especial Para Otras Enfermedades Y Trastornos,FEMENINO,CONTRIBUTIVO,29-59,1
2024-01,BELEN DE UMBRIA,Examen General E Investigacion De Personas Sin Quejas O Sin Diagnostico Informado,FEMENINO,SUBSIDIADO,60+,1
2024-01,BELEN DE UMBRIA,Gastritis Y Duodenitis,MASCULINO,SUBSIDIADO,29-59,1
2024-01,BELEN DE UMBRIA,Obesidad,FEMENINO,SUBSIDIADO,29-59,1
2024-01,BELEN DE UMBRIA,Otros Trastornos De Ansiedad,FEMENINO,CONTRIBUTIVO,29-59,2
2024-01,BELEN DE UMBRIA,Otros Trastornos De Ansiedad,FEMENINO,CONTRIBUTIVO,60+,2
2024-01,BELEN DE UMBRIA,Otros Trastornos De Ansiedad,FEMENINO,SUBSIDIADO,12-17,3
2024-01,BELEN DE UMBRIA,Otros Trastornos De Ansiedad,FEMENINO,SUBSIDIADO,18-28,1
2024-01,BELEN DE UMBRIA,Otros Trastornos De Ansiedad,FEMENINO,SUBSIDIADO,29-59,5
2024-01,BELEN DE UMBRIA,Otros Trastornos De Ansiedad,FEMENINO,SUBSIDIADO,6-11,1
2024-01,BELEN DE UMBRIA,Otros Trastornos De Ansiedad,FEMENINO,SUBSIDIADO,60+,1
2024-01,BELEN DE UMBRIA,Otros Trastornos De Ansiedad,MASCULINO,SUBSIDIADO,18-28,2
2024-01,BELEN DE UMBRIA,Otros Trastornos Emocionales Y Del Comportamiento Que Aparecen Habitualmente En La Ninez Y En La Adolescencia,MASCULINO,SUBSIDIADO,12-17,1
2024-01,BELEN DE UMBRIA,Otros Trastornos Emocionales Y Del Comportamiento Que Aparecen Habitualmente En La Ninez Y En La Adolescencia,MASCULINO,SUBSIDIADO,6-11,1
2024-01,BELEN DE UMBRIA,"Otros Trastornos Mentales Debidos A Lesion Y Disfuncion Cerebral, Y A Enfermedad Fisica",FEMENINO,SUBSIDIADO,60+,1
2024-01,BELEN DE UMBRIA,"Otros Trastornos Mentales Debidos A Lesion Y Disfuncion Cerebral, Y A Enfermedad Fisica",MASCULINO,CONTRIBUTIVO,18-28,1
2024-01,BELEN DE UMBRIA,"Otros Trastornos Mentales Debidos A Lesion Y Disfuncion Cerebral, Y A Enfermedad Fisica",MASCULINO,SUBSIDIADO,29-59,1
